customer_id,name,email,country,purchase_amount
5572,Thomas Hunt,ograves@example.com,Holy See (Vatican City State),8968.88
6601,Sabrina Patton,mackjason@example.com,Bhutan,8946.79
4989,Mathew Malone,washingtonronald@example.net,Gibraltar,9081.95
8766,John Davila,wellsdonald@example.net,Bulgaria,4894.84
3470,Melissa Mcneil,michael01@example.net,Czech Republic,6858.59
4527,Rachel Ellis,dixonanna@example.net,Congo,6528.24
4129,Kimberly Myers,wgriffin@example.net,Bolivia,5721.71
3676,Sarah Richardson,ifernandez@example.net,Mozambique,5193.7
6215,Ronald Miller,sharonweaver@example.net,Antigua and Barbuda,2271.53
5872,Alyssa Baker,dianalozano@example.com,Zimbabwe,6414.5
4252,Robert Bonilla,james72@example.org,Czech Republic,3971.59
9282,James Sanders,dwells@example.org,Bolivia,4638.97
5141,Robert Conley,john71@example.org,Gibraltar,8827.49
2235,Michael Strickland,lindsey17@example.net,Comoros,9527.32
4841,Angela Jackson,emilydiaz@example.com,British Indian Ocean Territory (Chagos Archipelago),7586.2
6543,Paula Sawyer,christina21@example.net,Portugal,556.37
9163,Susan Moore,alexismoore@example.com,Haiti,1170.42
4240,Ray Nelson,jessica44@example.org,Ecuador,5828.08
7433,Larry Jackson,idecker@example.net,Guyana,9465.69
3028,Christopher Davis,kimstephanie@example.org,Haiti,750.04
8349,Mr. Tyler Escobar,bakerjohnny@example.net,Madagascar,3980.64
5275,Raymond Brandt,kylebuck@example.org,Syrian Arab Republic,9604.25
2031,Joseph Sexton,barrydonaldson@example.com,Guam,322.39
9862,Benjamin Mitchell,ashlee88@example.com,Cuba,711.63
7891,Nathan Matthews,michael48@example.com,Samoa,8470.89
1160,Adam Lane MD,maria96@example.com,Tokelau,5741.01
9478,Nicholas Costa,sarahcruz@example.com,Syrian Arab Republic,7990.06
5356,Daniel Lewis,gonzalesivan@example.com,Slovenia,7457.62
9069,Alison Erickson,stephanie19@example.org,Ukraine,5314.98
8414,Randy Lee,dmartin@example.net,Ghana,6667.16
8599,Daniel Scott,kristenschwartz@example.org,Niue,2692.86
8667,Jessica Keller,danielharrison@example.com,Burkina Faso,495.94
2351,Gail Cruz,lwilson@example.com,Saint Kitts and Nevis,3533.36
1999,Duane Henderson,dmata@example.org,Hungary,8693.79
5886,Melissa Mcguire,baileyvictoria@example.com,Bermuda,292.86
9927,Barbara Rogers,denisenelson@example.org,Angola,2766.1
2116,Glenn Williams,mconley@example.org,Saudi Arabia,3235.43
3351,Melissa Taylor,carrierowe@example.com,Cuba,6296.59
3353,Mark Jones,ernestmartin@example.org,France,8949.97
4858,Charles Black,anthonysmith@example.org,Saint Martin,4591.73
6532,Madison Watson,nicholas97@example.net,Japan,178.17
5238,Ashley Evans,adamtaylor@example.org,Philippines,1608.59
7205,Michelle Hamilton,phillip47@example.net,India,286.64
8250,Michael Dean,angelamoore@example.org,Gibraltar,817.39
5911,Jason Mercado,laurenjones@example.net,Vietnam,9440.04
7534,Samantha Bowman,lhernandez@example.com,Swaziland,8083.16
8008,Richard Pineda,isaac87@example.com,Tajikistan,3817.49
9788,Kimberly Reed,iarmstrong@example.com,Anguilla,3405.72
1354,Kim Perez,evansnicholas@example.org,San Marino,6443.55
5065,Margaret Fisher,brianknight@example.com,Latvia,3663.34
7223,Alicia Arnold,jeffrey55@example.org,Mongolia,6942.84
9497,Ashley Reynolds,vpineda@example.com,Spain,1977.06
6310,Rita Garcia,hcochran@example.com,Somalia,6030.94
2921,Chelsea Reyes,williamsshirley@example.com,Mayotte,8581.56
1805,Sarah White,justinfernandez@example.org,Belize,8764.59
5553,Frank Lowe,stephenthompson@example.org,Panama,4085.23
4261,Madison Miller,esparzaashley@example.org,American Samoa,7823.23
